Test ID,Suite,Description,priority ,Failure reason
access-control-bpf-capability-check,access-control,Ensures that containers do not use BPF capability. Workloads should avoid loading eBPF filters,1,
access-control-cluster-role-bindings,access-control,Tests that a Pod does not specify ClusterRoleBindings.,1,"Pod: Reason For Non Compliance=Pod is using a cluster role binding; Namespace=nedr-agent; Pod Name=nedr-agent-4pnr4; Cluster Role Reference Name=system:openshift:scc:nedr-agent-scc Pod: Reason For Non Compliance=Pod is using a cluster role binding; Namespace=nedr-agent; Pod Name=nedr-agent-5wfwt; Cluster Role Reference Name=system:openshift:scc:nedr-agent-scc Pod: Reason For Non Compliance=Pod is using a cluster role binding; Namespace=nedr-agent; Pod Name=nedr-agent-6jqqt; Cluster Role Reference Name=system:openshift:scc:nedr-agent-scc Pod: Reason For Non Compliance=Pod is using a cluster role binding; Namespace=nedr-agent; Pod Name=nedr-agent-hrcdd; Cluster Role Reference Name=system:openshift:scc:nedr-agent-scc Pod: Reason For Non Compliance=Pod is using a cluster role binding; Namespace=nedr-agent; Pod Name=nedr-agent-ll4bf; Cluster Role Reference Name=system:openshift:scc:nedr-agent-scc Pod: Reason For Non Compliance=Pod is using a cluster role binding; Namespace=nedr-agent; Pod Name=nedr-agent-pnrjk; Cluster Role Reference Name=system:openshift:scc:nedr-agent-scc Log: [ERROR] [Apr 16 14:47:51.592] [pods.go: 552] [access-control-cluster-role-bindings] Pod ""nedr-agent-4pnr4"" has service account ""nedr-agent-sa"" that is tied to cluster role binding ""system:openshift:scc:nedr-agent-scc"" [ERROR] [Apr 16 14:47:51.596] [suite.go: 686] [access-control-cluster-role-bindings] Pod ""pod: nedr-agent-4pnr4 ns: nedr-agent"" is using a cluster role binding (roleRefName=""system:openshift:scc:nedr-agent-scc"") [ERROR] [Apr 16 14:47:51.596] [pods.go: 552] [access-control-cluster-role-bindings] Pod ""nedr-agent-5wfwt"" has service account ""nedr-agent-sa"" that is tied to cluster role binding ""system:openshift:scc:nedr-agent-scc"" [ERROR] [Apr 16 14:47:51.600] [suite.go: 686] [access-control-cluster-role-bindings] Pod ""pod: nedr-agent-5wfwt ns: nedr-agent"" is using a cluster role binding (roleRefName=""system:openshift:scc:nedr-agent-scc"") [ERROR] [Apr 16 14:47:51.600] [pods.go: 552] [access-control-cluster-role-bindings] Pod ""nedr-agent-6jqqt"" has service account ""nedr-agent-sa"" that is tied to cluster role binding ""system:openshift:scc:nedr-agent-scc"" [ERROR] [Apr 16 14:47:51.605] [suite.go: 686] [access-control-cluster-role-bindings] Pod ""pod: nedr-agent-6jqqt ns: nedr-agent"" is using a cluster role binding (roleRefName=""system:openshift:scc:nedr-agent-scc"")"
access-control-container-host-port,access-control,Verifies if containers define a hostPort.,1,
access-control-crd-roles,access-control,If an application creates CRDs it must supply a role to access those CRDs and no other API resources/permission. This test checks that there is at least one role present in each namespaces under test that only refers to CRDs under test.,2,
access-control-ipc-lock-capability-check,access-control,Ensures that containers do not use IPC_LOCK capability. Workloads should avoid accessing host resources - spec.HostIpc should be false.,1,
access-control-namespace,access-control,"Tests that all workload resources (PUTs and CRs) belong to valid namespaces. A valid namespace meets
the following conditions: (1) It was declared in the yaml config file under the targetNameSpaces
tag. (2) It does not have any of the following prefixes: default, openshift-, istio- and aspenmesh-",2,
access-control-namespace-resource-quota,access-control,Checks to see if workload pods are running in namespaces that have resource quotas applied.,2,"Pod: Reason For Non Compliance=Pod is running in a namespace that does not have a ResourceQuota applied; Namespace=nedr-agent; Pod Name=nedr-agent-4pnr4 Pod: Reason For Non Compliance=Pod is running in a namespace that does not have a ResourceQuota applied; Namespace=nedr-agent; Pod Name=nedr-agent-5wfwt Pod: Reason For Non Compliance=Pod is running in a namespace that does not have a ResourceQuota applied; Namespace=nedr-agent; Pod Name=nedr-agent-6jqqt Pod: Reason For Non Compliance=Pod is running in a namespace that does not have a ResourceQuota applied; Namespace=nedr-agent; Pod Name=nedr-agent-hrcdd Pod: Reason For Non Compliance=Pod is running in a namespace that does not have a ResourceQuota applied; Namespace=nedr-agent; Pod Name=nedr-agent-ll4bf Pod: Reason For Non Compliance=Pod is running in a namespace that does not have a ResourceQuota applied; Namespace=nedr-agent; Pod Name=nedr-agent-pnrjk Log: [ERROR] [Apr 16 14:47:55.694] [suite.go: 891] [access-control-namespace-resource-quota] Pod ""pod: nedr-agent-4pnr4 ns: nedr-agent"" is running in a namespace that does not have a ResourceQuota applied. [ERROR] [Apr 16 14:47:55.694] [suite.go: 891] [access-control-namespace-resource-quota] Pod ""pod: nedr-agent-5wfwt ns: nedr-agent"" is running in a namespace that does not have a ResourceQuota applied. [ERROR] [Apr 16 14:47:55.694] [suite.go: 891] [access-control-namespace-resource-quota] Pod ""pod: nedr-agent-6jqqt ns: nedr-agent"" is running in a namespace that does not have a ResourceQuota applied. [ERROR] [Apr 16 14:47:55.694] [suite.go: 891] [access-control-namespace-resource-quota] Pod ""pod: nedr-agent-hrcdd ns: nedr-agent"" is running in a namespace that does not have a ResourceQuota applied. [ERROR] [Apr 16 14:47:55.694] [suite.go: 891] [access-control-namespace-resource-quota] Pod ""pod: nedr-agent-ll4bf ns: nedr-agent"" is running in a namespace that does not have a ResourceQuota applied. [ERROR] [Apr 16 14:47:55.694] [suite.go: 891] [access-control-namespace-resource-quota] Pod ""pod: nedr-agent-pnrjk ns: nedr-agent"" is running in a namespace that does not have a ResourceQuota applied."
access-control-net-admin-capability-check,access-control,"Ensures that containers do not use NET_ADMIN capability. Note: this test also ensures iptables and nftables are not configured by workload pods:
- NET_ADMIN and NET_RAW are required to modify nftables (namespaced) which is not desired inside pods.
nftables should be configured by an administrator outside the scope of the workload. nftables are usually configured
by operators, for instance the Performance Addon Operator (PAO) or istio.
- Privileged container are required to modify host iptables, which is not safe to perform inside pods. nftables
should be configured by an administrator outside the scope of the workload. iptables are usually configured by operators,
for instance the Performance Addon Operator (PAO) or istio.",1,
access-control-net-raw-capability-check,access-control,"Ensures that containers do not use NET_RAW capability. Note: this test also ensures iptables and nftables are not configured by workload pods:
- NET_ADMIN and NET_RAW are required to modify nftables (namespaced) which is not desired inside pods.
nftables should be configured by an administrator outside the scope of the workload. nftables are usually configured
by operators, for instance the Performance Addon Operator (PAO) or istio.
- Privileged container are required to modify host iptables, which is not safe to perform inside pods. nftables
should be configured by an administrator outside the scope of the workload. iptables are usually configured by operators,
for instance the Performance Addon Operator (PAO) or istio.",1,
access-control-no-1337-uid,access-control,Checks that all pods are not using the securityContext UID 1337,1,
